,enrollment,year
Michigan,"44,718",2016
Northwestern,"21,000",2015
Rutgers,"37,364",2011
Illinois,"49,000",2021
Purdue,"41,573",2017
Michigan State,"49,695",2021
UW-Madison,"43,820",2017
Indiana,"90,700",2016
Maryland,"40,521",2017
Nebraska,"26,079",2017
Ohio State,"67,957",2021
Penn State,"98,783",2017
Minnesota,"51,147",2014
Iowa,"33,334",2016
